"id","decisionnum","deckl","deckr","pair","deckchoice","effort_type","prog_type","effchoice","progchoice"
"A17LZ3WK12T7CJ",20,"deck3","deck5","3-5",82,"MH","Prog_NoProg",0,1
"A17LZ3WK12T7CJ",21,"deck3","deck6","3-6",82,"HH","NoProg_Prog",NA,1
"A17LZ3WK12T7CJ",22,"deck5","deck2","2-5",76,"MM","NoProg_Prog",NA,1
"A17LZ3WK12T7CJ",23,"deck5","deck1","1-5",76,"LM","NoProg_Prog",1,1
"A17LZ3WK12T7CJ",24,"deck1","deck6","1-6",76,"LH","NoProg_Prog",0,0
"A17LZ3WK12T7CJ",25,"deck4","deck1","1-4",76,"LL","NoProg_Prog",NA,1
"A17LZ3WK12T7CJ",26,"deck5","deck6","5-6",76,"MH","Prog_Prog",0,1
"A17LZ3WK12T7CJ",27,"deck6","deck1","1-6",82,"LH","NoProg_Prog",0,0
"A17LZ3WK12T7CJ",28,"deck5","deck1","1-5",76,"LM","NoProg_Prog",1,1
"A17LZ3WK12T7CJ",29,"deck5","deck4","4-5",76,"LM","Prog_Prog",1,1
"A17LZ3WK12T7CJ",30,"deck3","deck2","2-3",76,"MH","NoProg_NoProg",1,0
"A17LZ3WK12T7CJ",31,"deck2","deck4","2-4",82,"LM","Prog_NoProg",0,1
"A17LZ3WK12T7CJ",32,"deck1","deck5","1-5",82,"LM","NoProg_Prog",1,1
"A17LZ3WK12T7CJ",33,"deck2","deck3","2-3",76,"MH","NoProg_NoProg",0,0
"A17LZ3WK12T7CJ",34,"deck4","deck5","4-5",82,"LM","Prog_Prog",1,1
"A17LZ3WK12T7CJ",35,"deck2","deck5","2-5",82,"MM","NoProg_Prog",NA,1
"A17LZ3WK12T7CJ",36,"deck1","deck6","1-6",76,"LH","NoProg_Prog",0,0
"A17LZ3WK12T7CJ",37,"deck6","deck5","5-6",82,"MH","Prog_Prog",0,1
"A17LZ3WK12T7CJ",38,"deck4","deck5","4-5",82,"LM","Prog_Prog",1,1
"A17LZ3WK12T7CJ",39,"deck5","deck4","4-5",76,"LM","Prog_Prog",1,1
